k;q;time
1;0.535781;0.497006
2;0.546151;0.447106
3;0.549606;0.461078
4;0.555139;0.467066
5;0.554873;0.506986
6;0.557159;0.487026
7;0.558197;0.49501
8;0.557948;0.499002
9;0.561063;0.500998
10;0.560449;0.520958
11;0.560107;0.54491
12;0.559419;0.560878
13;0.562166;0.576846
14;0.561568;0.576846
15;0.561745;0.596806
16;0.563326;0.610778
17;0.563335;0.61477
18;0.563422;0.622754
19;0.565075;0.644711
20;0.563161;0.646707
21;0.56389;0.660679
22;0.564111;0.672655
23;0.563128;0.690619
24;0.564065;0.684631
25;0.563052;0.700599
26;0.565942;0.718563
27;0.565261;0.726547
28;0.564934;0.730539
29;0.565117;0.726547
30;0.564452;0.754491
31;0.564103;0.764471
32;0.564737;0.776447
33;0.566879;0.802395
34;0.564894;0.766467
35;0.564936;0.796407
36;0.563864;0.792415
37;0.565061;0.816367
38;0.564894;0.842315
39;0.56508;0.840319
40;0.566136;0.858283
41;0.565422;0.870259
42;0.564007;0.838323
43;0.565354;0.888224
44;0.564975;0.888224
45;0.566924;0.878244
46;0.566924;0.888224
47;0.56642;0.892216
48;0.566288;0.906188
49;0.565794;0.914172
50;0.566136;0.922156
51;0.567259;0.932136
52;0.566924;0.954092
53;0.565636;0.948104
54;0.566501;0.936128
55;0.565774;0.968064
56;0.566397;0.974052
57;0.566924;0.982036
58;0.566454;0.97006
59;0.566924;0.988024
60;0.56632;0.998004
61;0.566831;1.01198
62;0.566924;1.02196
63;0.563592;1.01597
64;0.566924;1.02595
65;0.56657;1.01397
66;0.56632;1.03792
67;0.566924;1.03992
68;0.566924;1.03393
69;0.566924;1.06188
70;0.566924;1.05589
71;0.566924;1.06986
72;0.56632;1.06786
73;0.566924;1.0499
74;0.566232;1.08782
75;0.566924;1.06786
76;0.568241;1.07784
77;0.566924;1.09581
78;0.566924;1.08782
79;0.566924;1.09581
80;0.566945;1.0978
81;0.566924;1.12774
82;0.566999;1.07784
83;0.568241;1.11377
84;0.566924;1.10778
85;0.567653;1.13174
86;0.566945;1.12575
87;0.566924;1.12575
88;0.568138;1.12575
89;0.56711;1.13573
90;0.566573;1.12774
91;0.566924;1.14371
92;0.56711;1.17565
93;0.56711;1.15768
94;0.567637;1.16168
95;0.56711;1.1477
96;0.566924;1.13972
97;0.566924;1.16966
98;0.567637;1.1517
99;0.567637;1.15369
100;0.566996;1.16367
