alpha;q;time
10;0.863905;182.667
11;0.879695;203.667
12;0.896089;185.619
14;0.894897;181
16;0.89846;181.333
18;0.910164;205.524
21;0.901464;189.286
23;0.929558;222.048
27;0.920801;233
30;0.9164;207.143
34;0.936927;256.286
39;0.93715;262.238
44;0.948072;249.524
50;0.948248;292.143
57;0.948083;257.905
65;0.953124;322.571
73;0.95422;324.667
83;0.95549;470.762
94;0.954939;309.571
107;0.955539;446.143
121;0.954734;362.714
138;0.955535;562.81
156;0.955355;585.381
177;0.955504;431.571
200;0.955506;795.667
227;0.955502;592.381
257;0.955535;701.429
292;0.955298;720.048
331;0.955522;683.619
375;0.955535;936.81
425;0.955539;1031.43
481;0.955539;1403.24
545;0.955531;1118.1
618;0.955506;1242.71
701;0.955535;1458.71
794;0.955531;1274.1
900;0.955535;1438
1020;0.955539;1258.52
1155;0.955539;1943.33
1309;0.955535;1321.48
1484;0.955539;1584.71
1681;0.955539;2003.76
